"Notes"	"County of Residence"	"County of Residence Code"	Births	Total Population	Birth Rate	Female Population	Fertility Rate	% of Total Births	Average Age of Mother (years)	Average OE Gestational Age (weeks)	Average LMP Gestational Age (weeks)	Average Birth Weight (grams)	Average Number of Prenatal Visits	Average Interval Since Last Live Birth (months)	Average Interval Since Last Other Pregnancy Outcome (months)
	"Baldwin County, AL"	"01003"	19000	1830970	10.38	317061	59.93	0.06%	28.27	38.24	38.47	3258.21	11.05	51.04	46.92
	"Calhoun County, AL"	"01015"	10535	918879	11.47	179162	58.80	0.04%	26.81	38.18	38.33	3198.67	10.38	51.78	45.71
	"Etowah County, AL"	"01055"	9500	821950	11.56	150242	63.23	0.03%	26.57	38.24	38.41	3224.37	9.76	50.25	47.82
	"Houston County, AL"	"01069"	10533	849585	12.40	162140	64.96	0.04%	27.07	38.25	38.29	3185.68	11.34	49.79	42.44
	"Jefferson County, AL"	"01073"	65873	5288057	12.46	1095133	60.15	0.22%	28.63	38.17	38.18	3158.62	10.37	51.06	52.03
	"Lee County, AL"	"01081"	15192	1357115	11.19	321341	47.28	0.05%	28.33	38.21	38.38	3206.98	12.21	50.38	43.79
	"Madison County, AL"	"01089"	34739	3048270	11.40	606543	57.27	0.12%	28.78	38.04	38.18	3197.19	9.72	49.48	42.18
	"Mobile County, AL"	"01097"	42486	3304598	12.86	663854	64.00	0.14%	27.36	37.91	38.10	3132.43	10.68	50.32	46.75
	"Montgomery County, AL"	"01101"	24560	1808658	13.58	378800	64.84	0.08%	27.49	37.90	38.07	3081.46	9.81	51.70	54.03
	"Morgan County, AL"	"01103"	11635	969493	12.00	173789	66.95	0.04%	27.01	38.14	38.24	3205.51	10.15	49.59	43.60
	"Shelby County, AL"	"01117"	18432	1769081	10.42	346420	53.21	0.06%	29.54	38.32	38.40	3269.52	10.77	49.98	47.94
	"Tuscaloosa County, AL"	"01125"	20224	1744097	11.60	417894	48.40	0.07%	27.56	38.05	38.20	3158.60	9.30	48.80	48.84
	"Unidentified Counties, AL"	"01999"	183467	15962523	11.49	2906680	63.12	0.61%	26.83	38.11	38.28	3196.58	10.44	50.21	46.52
	"Anchorage Borough, AK"	"02020"	31075	2320522	13.39	490704	63.33	0.10%	29.14	38.50	38.68	3344.15	10.87	46.04	47.80
	"Unidentified Counties, AK"	"02999"	47697	3560970	13.39	669762	71.21	0.16%	28.41	38.58	38.74	3407.40	10.48	44.94	51.23
