"Notes"	"County of Residence"	"County of Residence Code"	Births	Total Population	Birth Rate	% of Total Births
	"Baldwin County, AL"	"01003"	2486	253507	9.81	0.07%
	"Calhoun County, AL"	"01015"	1258	116429	10.80	0.03%
	"Etowah County, AL"	"01055"	1163	103241	11.26	0.03%
	"Houston County, AL"	"01069"	1278	108462	11.78	0.04%
	"Jefferson County, AL"	"01073"	7866	662895	11.87	0.22%
	"Lee County, AL"	"01081"	1985	183215	10.83	0.06%
	"Madison County, AL"	"01089"	4559	412600	11.05	0.13%
	"Mobile County, AL"	"01097"	5054	411640	12.28	0.14%
	"Montgomery County, AL"	"01101"	2810	224980	12.49	0.08%
	"Morgan County, AL"	"01103"	1512	125133	12.08	0.04%
	"Shelby County, AL"	"01117"	2336	233000	10.03	0.06%
	"Tuscaloosa County, AL"	"01125"	2505	237373	10.55	0.07%
	"Unidentified Counties, AL"	"01999"	23046	2035993	11.32	0.64%
	"Anchorage Borough, AK"	"02020"	3513	286075	12.28	0.10%
	"Unidentified Counties, AK"	"02999"	5502	447331	12.30	0.15%
	"Cochise County, AZ"	"04003"	1220	124640	9.79	0.03%
	"Coconino County, AZ"	"04005"	1287	144472	8.91	0.04%
	"Maricopa County, AZ"	"04013"	50307	4585871	10.97	1.40%
	"Mohave County, AZ"	"04015"	1704	223682	7.62	0.05%
	"Navajo County, AZ"	"04017"	1228	109175	11.25	0.03%
	"Pima County, AZ"	"04019"	9846	1063162	9.26	0.27%
	"Pinal County, AZ"	"04021"	5376	484239	11.10	0.15%
	"Yavapai County, AZ"	"04025"	1757	249081	7.05	0.05%
	"Yuma County, AZ"	"04027"	2841	213221	13.32	0.08%
	"Unidentified Counties, AZ"	"04999"	2530	233801	10.82	0.07%
	"Benton County, AR"	"05007"	3830	311013	12.31	0.11%
	"Faulkner County, AR"	"05045"	1489	129951	11.46	0.04%
	"Pulaski County, AR"	"05119"	4801	400009	12.00	0.13%
	"Saline County, AR"	"05125"	1389	129574	10.72	0.04%
	"Sebastian County, AR"	"05131"	1546	129098	11.98	0.04%
	"Washington County, AR"	"05143"	3265	261549	12.48	0.09%
	"Unidentified Counties, AR"	"05999"	18944	1706538	11.10	0.53%
	"Alameda County, CA"	"06001"	16194	1622188	9.98	0.45%
	"Butte County, CA"	"06007"	2040	207172	9.85	0.06%
	"Contra Costa County, CA"	"06013"	11199	1155025	9.70	0.31%
	"El Dorado County, CA"	"06017"	1430	192215	7.44	0.04%
	"Fresno County, CA"	"06019"	13096	1017162	12.88	0.36%
	"Humboldt County, CA"	"06023"	1073	133985	8.01	0.03%
	"Imperial County, CA"	"06025"	2268	179057	12.67	0.06%
	"Kern County, CA"	"06029"	12071	913820	13.21	0.34%
	"Kings County, CA"	"06031"	2017	152682	13.21	0.06%
	"Los Angeles County, CA"	"06037"	90767	9663345	9.39	2.52%
	"Madera County, CA"	"06039"	2179	162858	13.38	0.06%
	"Marin County, CA"	"06041"	2180	254407	8.57	0.06%
	"Merced County, CA"	"06047"	3657	291920	12.53	0.10%
	"Monterey County, CA"	"06053"	5343	430723	12.40	0.15%
	"Napa County, CA"	"06055"	1255	133216	9.42	0.03%
	"Orange County, CA"	"06059"	29994	3135755	9.57	0.83%
	"Placer County, CA"	"06061"	3775	423561	8.91	0.10%
	"Riverside County, CA"	"06065"	26401	2492442	10.59	0.73%
	"Sacramento County, CA"	"06067"	17392	1584288	10.98	0.48%
	"San Bernardino County, CA"	"06071"	24766	2195611	11.28	0.69%
	"San Diego County, CA"	"06073"	35594	3269973	10.89	0.99%
