"Notes"	"County of Residence"	"County of Residence Code"	"Sex of Infant"	"Sex of Infant Code"	"NICU Admission"	"NICU Admission Code"	"OE Gestational Age Recode 10"	"OE Gestational Age Recode 10 Code"	Births	% of Total Births
	"Prince George's County, MD"	"24033"	"Female"	"F"	"No"	"2"	"28 - 31 weeks"	"03"	10	0.00%
	"Prince George's County, MD"	"24033"	"Male"	"M"	"No"	"2"	"42 weeks or more"	"09"	10	0.00%
	"St. Mary's County, MD"	"24037"	"Male"	"M"	"Yes"	"1"	"32 - 35 weeks"	"04"	10	0.00%
	"Unidentified Counties, MD"	"24999"	"Female"	"F"	"No"	"2"	"28 - 31 weeks"	"03"	10	0.00%
	"Unidentified Counties, MD"	"24999"	"Male"	"M"	"Yes"	"1"	"40 weeks"	"07"	10	0.00%
	"Berkshire County, MA"	"25003"	"Female"	"F"	"No"	"2"	"36 weeks"	"05"	10	0.00%
	"Essex County, MA"	"25009"	"Female"	"F"	"Yes"	"1"	"20 - 27 weeks"	"02"	10	0.00%
	"Essex County, MA"	"25009"	"Female"	"F"	"Yes"	"1"	"41 weeks"	"08"	10	0.00%
	"Hampden County, MA"	"25013"	"Male"	"M"	"Yes"	"1"	"40 weeks"	"07"	10	0.00%
	"Hampshire County, MA"	"25015"	"Female"	"F"	"Yes"	"1"	"32 - 35 weeks"	"04"	10	0.00%
	"Norfolk County, MA"	"25021"	"Male"	"M"	"Yes"	"1"	"20 - 27 weeks"	"02"	10	0.00%
	"Norfolk County, MA"	"25021"	"Male"	"M"	"Unknown or Not Stated"	"9"	"Unknown or Not Stated"	"10"	10	0.00%
	"Plymouth County, MA"	"25023"	"Female"	"F"	"Yes"	"1"	"40 weeks"	"07"	10	0.00%
	"Worcester County, MA"	"25027"	"Female"	"F"	"Yes"	"1"	"41 weeks"	"08"	10	0.00%
	"Unidentified Counties, MA"	"25999"	"Female"	"F"	"Yes"	"1"	"32 - 35 weeks"	"04"	10	0.00%
	"Unidentified Counties, MA"	"25999"	"Female"	"F"	"Unknown or Not Stated"	"9"	"Unknown or Not Stated"	"10"	10	0.00%
	"Bay County, MI"	"26017"	"Male"	"M"	"Yes"	"1"	"40 weeks"	"07"	10	0.00%
	"Berrien County, MI"	"26021"	"Female"	"F"	"No"	"2"	"32 - 35 weeks"	"04"	10	0.00%
	"Calhoun County, MI"	"26025"	"Female"	"F"	"No"	"2"	"32 - 35 weeks"	"04"	10	0.00%
	"Eaton County, MI"	"26045"	"Female"	"F"	"No"	"2"	"32 - 35 weeks"	"04"	10	0.00%
	"Ingham County, MI"	"26065"	"Female"	"F"	"Yes"	"1"	"36 weeks"	"05"	10	0.00%
	"Kalamazoo County, MI"	"26077"	"Male"	"M"	"Yes"	"1"	"28 - 31 weeks"	"03"	10	0.00%
	"Monroe County, MI"	"26115"	"Female"	"F"	"No"	"2"	"32 - 35 weeks"	"04"	10	0.00%
	"Oakland County, MI"	"26125"	"Female"	"F"	"Yes"	"1"	"41 weeks"	"08"	10	0.00%
	"Saginaw County, MI"	"26145"	"Male"	"M"	"Yes"	"1"	"28 - 31 weeks"	"03"	10	0.00%
	"Washtenaw County, MI"	"26161"	"Female"	"F"	"Yes"	"1"	"36 weeks"	"05"	10	0.00%
	"Wayne County, MI"	"26163"	"Female"	"F"	"No"	"2"	"28 - 31 weeks"	"03"	10	0.00%
	"Unidentified Counties, MI"	"26999"	"Male"	"M"	"No"	"2"	"28 - 31 weeks"	"03"	10	0.00%
	"Unidentified Counties, MI"	"26999"	"Male"	"M"	"Unknown or Not Stated"	"9"	"40 weeks"	"07"	10	0.00%
	"Anoka County, MN"	"27003"	"Female"	"F"	"Yes"	"1"	"36 weeks"	"05"	10	0.00%
	"Dakota County, MN"	"27037"	"Male"	"M"	"Yes"	"1"	"40 weeks"	"07"	10	0.00%
	"Hennepin County, MN"	"27053"	"Female"	"F"	"No"	"2"	"20 - 27 weeks"	"02"	10	0.00%
	"Ramsey County, MN"	"27123"	"Male"	"M"	"Yes"	"1"	"20 - 27 weeks"	"02"	10	0.00%
	"St. Louis County, MN"	"27137"	"Female"	"F"	"Yes"	"1"	"28 - 31 weeks"	"03"	10	0.00%
	"Stearns County, MN"	"27145"	"Female"	"F"	"Yes"	"1"	"28 - 31 weeks"	"03"	10	0.00%
	"Stearns County, MN"	"27145"	"Male"	"M"	"Yes"	"1"	"36 weeks"	"05"	10	0.00%
	"Wright County, MN"	"27171"	"Female"	"F"	"Yes"	"1"	"20 - 27 weeks"	"02"	10	0.00%
	"Wright County, MN"	"27171"	"Male"	"M"	"Yes"	"1"	"36 weeks"	"05"	10	0.00%
	"Snohomish County, WA"	"53061"	"Male"	"M"	"Unknown or Not Stated"	"9"	"40 weeks"	"07"	10	0.00%
	"Spokane County, WA"	"53063"	"Male"	"M"	"Yes"	"1"	"20 - 27 weeks"	"02"	10	0.00%
	"Thurston County, WA"	"53067"	"Female"	"F"	"Yes"	"1"	"28 - 31 weeks"	"03"	10	0.00%
	"Whatcom County, WA"	"53073"	"Female"	"F"	"Yes"	"1"	"32 - 35 weeks"	"04"	10	0.00%
	"Unidentified Counties, WA"	"53999"	"Male"	"M"	"No"	"2"	"20 - 27 weeks"	"02"	10	0.00%
	"Berkeley County, WV"	"54003"	"Female"	"F"	"No"	"2"	"32 - 35 weeks"	"04"	10	0.00%
	"Berkeley County, WV"	"54003"	"Male"	"M"	"Yes"	"1"	"36 weeks"	"05"	10	0.00%
	"Brown County, WI"	"55009"	"Male"	"M"	"Yes"	"1"	"40 weeks"	"07"	10	0.00%
	"Marathon County, WI"	"55073"	"Female"	"F"	"No"	"2"	"32 - 35 weeks"	"04"	10	0.00%
	"Marathon County, WI"	"55073"	"Male"	"M"	"Yes"	"1"	"28 - 31 weeks"	"03"	10	0.00%
	"Rock County, WI"	"55105"	"Male"	"M"	"Yes"	"1"	"28 - 31 weeks"	"03"	10	0.00%
	"Walworth County, WI"	"55127"	"Male"	"M"	"Yes"	"1"	"32 - 35 weeks"	"04"	10	0.00%
	"Waukesha County, WI"	"55133"	"Female"	"F"	"Yes"	"1"	"40 weeks"	"07"	10	0.00%
	"Etowah County, AL"	"01055"	"Female"	"F"	"Yes"	"1"	"32 - 35 weeks"	"04"	10	0.00%
	"Etowah County, AL"	"01055"	"Male"	"M"	"No"	"2"	"41 weeks"	"08"	10	0.00%
